unit,number,text,audio
unit4,113,包,audio/unit4/113.mp3
unit4,114,表,audio/unit4/114.mp3
unit4,115,尝,audio/unit4/115.mp3
unit4,116,法律系,audio/unit4/116.mp3
unit4,117,好吃,audio/unit4/117.mp3
unit4,118,画,audio/unit4/118.mp3
unit4,119,画儿,audio/unit4/119.mp3
unit4,120,讲,audio/unit4/120.mp3
unit4,121,借,audio/unit4/121.mp3
unit4,122,进,audio/unit4/122.mp3
unit4,123,累,audio/unit4/123.mp3
unit4,124,理科,audio/unit4/124.mp3
unit4,125,买,audio/unit4/125.mp3
unit4,126,漂亮,audio/unit4/126.mp3
unit4,127,请问,audio/unit4/127.mp3
unit4,128,设计,audio/unit4/128.mp3
unit4,129,申请,audio/unit4/129.mp3
unit4,130,手绢,audio/unit4/130.mp3
unit4,131,填,audio/unit4/131.mp3
unit4,132,题目,audio/unit4/132.mp3
unit4,133,文科,audio/unit4/133.mp3
unit4,134,系,audio/unit4/134.mp3
unit4,135,县,audio/unit4/135.mp3
unit4,136,新,audio/unit4/136.mp3
unit4,137,信,audio/unit4/137.mp3
unit4,138,衣服,audio/unit4/138.mp3
unit4,139,印刷,audio/unit4/139.mp3
unit4,140,脏,audio/unit4/140.mp3
unit4,141,助学金,audio/unit4/141.mp3
